Tool,Representative study
meta-analysis,[@Castanho2015;@Busch2017]
systematic review,[@Lortie2018]
citizen science,[@Burkle2013;@Congrad2011]
team science,[@Nielsen2017]
R,[@McCarthy2010]
mapping,[@Halpern2008]
big data/open access databases,[@Sillero2014;@Dengler2011;@Maldonado2015]
modelling,[@Vogt2018]
surveys,[@Wassen2005]
biomonitoring,[@Miguel2017]
evolutionary change/population viability genetic analysis,[@Stoops2017]
economic incentive monitoring,[@Cerda2018]
human health and well-being monitoring,[@Mergler2007;@Dickman2014]
